กอ	k ɔː
มาด	m aː t̚ 2
ภูมิภาค	pʰ uː . m i 3 . pʰ aː k̚ 2
ฉกรรจ์	t͡ɕʰ a 1 . k a n
พร่อง	pʰ r ɔ ŋ 2
ทาส	tʰ aː t̚ 2
เซเลบ	s eː . l e p̚ 3
พยาบาท	pʰ a 3 . j aː . b aː t̚ 1
กฎหมายเหตุ	k o t̚ 1 . m aː j 4 . h eː t̚ 1
ทานข้าว	tʰ aː n . kʰ aː w 2
ป่วน	p u a̯ n 1
อับเฉา	ʔ a p̚ 1 . t͡ɕʰ a w 4
โรคภัยไข้เจ็บ	r oː k̚ 2 . pʰ a j . kʰ a j 2 . t͡ɕ e p̚ 1
ละหุ่ง	l a 3 . h u ŋ 1
โพ้น	pʰ oː n 3
อำนาจ	ʔ a m . n aː t̚ 2
วีรกรรม	w iː . r a 3 . k a m
เบอร์มิวดา	b ɤː . m i w . d aː 2
สงเคราะห์	s o ŋ 4 . kʰ r ɔ ʔ 3
อิศวร	ʔ i 1 . s u a̯ n 4
รอยร้าว	r ɔː j . r aː w 3
ช่องแคบ	t͡ɕʰ ɔ ŋ 2 . kʰ ɛː p̚ 2
มาตุฆาต	m aː . t u 1 . kʰ aː t̚ 2
ว่า	w aː 2
คอจีน	kʰ ɔː . t͡ɕ iː n
ปรินิพพาน	p a 1 . r i 3 . n i p̚ 3 . pʰ aː n
บาร์เบโดส	b aː . b eː . d oː s 3
กระดาษเงินกระดาษทอง	k r a 1 . d aː t̚ 1 . ŋ ɤː n . k r a 1 . d aː t̚ 1 . tʰ ɔː ŋ
ลาง	l aː ŋ
คู่ความ	kʰ uː 2 . kʰ w aː m
กุมภาพันธ์	k u m . pʰ aː . pʰ a n
นาอูรู	n aː . ʔ uː . r uː
หลง	l o ŋ 4
วัด	w a t̚ 3
ลิงโลด	l i ŋ . l oː t̚ 2
ธัญพืช	tʰ a n . j a 3 . pʰ ɯː t̚ 2
ดึกดำบรรพ์	d ɯ k̚ 1 . d a m . b a n
ไนล่อน	n a j . l ɔ n 2
แม่เบี้ย	m ɛː 2 . b i a̯ 2
บรูไน	b r uː . n a j
ศาสนา	s aː t̚ 1 . s a 1 . n aː 4
ทันใด	tʰ a n . d a j
ศุภมัสดุ	s u p̚ 1 . pʰ a 3 . m a t̚ 3 . s a 1 . d u ʔ 1
อีกา	ʔ iː . k aː
การปกครอง	k aː n . p o k̚ 1 . kʰ r ɔː ŋ
อุดรธานี	ʔ u 1 . d ɔː n . tʰ aː . n iː
ส่าง	s aː ŋ 1
อัสดร	ʔ a t̚ 1 . s a 1 . d ɔː n
อาชญาสิทธิ์	ʔ aː t̚ 1 . j aː . s i t̚ 1
วิเศษ	w i 3 . s eː t̚ 1
ทายาทโดยธรรม	tʰ aː . j aː t̚ 2 . d oː j . tʰ a m
ส่วนผสม	s u a̯ n 1 . pʰ a 1 . s o m 4
บ้าหมู	b aː 2 . m uː 4
ประจุ	p r a 1 . t͡ɕ u ʔ 1
อัศว	ʔ a t̚ 1 . s a 1 . w a 3 . 
อาเทศ	ʔ aː . tʰ eː t̚ 2
ย่างกุ้ง	j aː ŋ 2 . k u ŋ 2
ศิลาแลง	s i 1 . l aː . l ɛː ŋ
แทรก	s ɛː k̚ 2
ไหน	n a j 4
ฟ้าร้อง	f aː 3 . r ɔː ŋ 3
เปื้อน	p ɯ a̯ n 2
เลอะเลือน	l ɤ ʔ 3 . l ɯ a̯ n
ต่อสู้	t ɔː 1 . s uː 2
ปอง	p ɔː ŋ
พี่เลี้ยง	pʰ iː 2 . l i a̯ ŋ 3
ดิจิทัล	d i 3 . t͡ɕ i 1 . tʰ a l 2
เสรี	s eː 4 . r iː
เสียม	s i a̯ m 4
เจ้าสาว	t͡ɕ a w 2 . s aː w 4
ของ	kʰ ɔː ŋ 4
แน่ใจ	n ɛː 2 . t͡ɕ a j
คุชราต	kʰ u t̚ 3 . t͡ɕʰ a 3 . r aː t̚ 2
ผลึก	pʰ a 1 . l ɯ k̚ 1
เอกภาพ	ʔ eː k̚ 1 . k a 1 . pʰ aː p̚ 2
ชายา	t͡ɕʰ aː . j aː
ประสงค์	p r a 1 . s o ŋ 4
รนหาที่	r o n . h aː 4 . tʰ iː 2
ผ่าน	pʰ aː n 1
ภาพพจน์	pʰ aː p̚ 2 . pʰ o t̚ 3
แฮ็กเกอร์	h ɛ k̚ 3 . k ɤː 2
คำตอบ	kʰ a m . t ɔː p̚ 1
จ้อง	t͡ɕ ɔ ŋ 2
ช่วยตัวเอง	t͡ɕʰ u a̯ j 2 . t u a̯ . ʔ eː ŋ
รม	r o m
หาง	h aː ŋ 4
ข่าว	kʰ aː w 1
ตาปู	t aː . p uː
ชมพูทวีป	t͡ɕʰ o m . pʰ uː . tʰ a 3 . w iː p̚ 2
เกลียว	k l i a̯ w
ความลึก	kʰ w aː m . l ɯ k̚ 3
เสือ	s ɯ a̯ 4
หน่อไม้	n ɔː 1 . m aː j 3
นา	n aː
เสื่อ	s ɯ a̯ 1
องครักษ์	ʔ o ŋ . kʰ a 3 . r a k̚ 3
กา	k aː
กำขี้ดีกว่ากำตด	k a m . kʰ iː 2 . d iː . k w aː 1 . k a m . t o t̚ 1
เดินหน้า	d ɤː n . n aː 2
กระเจี๊ยว	k r a 1 . t͡ɕ i a̯ w 3
คร่ำครวญ	kʰ r a m 2 . kʰ r u a̯ n
ช้าง	t͡ɕʰ aː ŋ 3
คฤหัสถ์	kʰ a 3 . r ɯ 3 . h a t̚ 1
ดื่ม	d ɯː m 1
ฝากผีฝากไข้	f aː k̚ 1 . pʰ iː 4 . f aː k̚ 1 . kʰ a j 2
ใจความ	t͡ɕ a j . kʰ w aː m
ม่อง	m ɔ ŋ 2
ชุมชน	t͡ɕʰ u m . t͡ɕʰ o n
เห็นอกเห็นใจ	h e n 4 . ʔ o k̚ 1 . h e n 4 . t͡ɕ a j
ง่า	ŋ aː 2
ข่มขืน	kʰ o m 1 . kʰ ɯː n 4
ง้าง	ŋ aː ŋ 3
หลาบ	l aː p̚ 1
กระเป๋าธนบัตร	k r a 1 . p a w 4 . tʰ a 3 . n a 3 . b a t̚ 1
สมมติ	s o m 4 . m u t̚ 3
ไร้	r a j 3
นขลิขิต	n a 3 . kʰ a 1 . l i 3 . kʰ i t̚ 1
ช่วย	t͡ɕʰ u a̯ j 2
ผง	pʰ o ŋ 4
สามเหลี่ยมด้านไม่เท่า	s aː m 4 . l i a̯ m 1 . d aː n 2 . m a j 2 . tʰ a w 2
หลาว	l aː w 4
กล้องสนาม	k l ɔː ŋ 2 . s a 1 . n aː m 4
ฯพณฯ	pʰ a 3 . n a 3 . tʰ a n 2
แถบ	tʰ ɛː p̚ 1
ติ่มซำ	t i m 1 . s a m
วาทศิลป์	w aː . tʰ a 3 . s i n 4
ไมโครนีเซีย	m a j . kʰ r oː . n iː . s i a̯
อุปัชฌาย	ʔ u 1 . p a t̚ 1 . t͡ɕʰ aː . j a 3 . 
ปฏิกริยา	p a 1 . t i 1 . k r i 1 . j aː
ติดตาม	t i t̚ 1 . t aː m
เดลาแวร์	d eː . l aː . w ɛː
เกิดขึ้น	k ɤː t̚ 1 . kʰ ɯ n 2
อินเทอร์เน็ต	ʔ i n . tʰ ɤː . n e t̚ 1
ร่ำลา	r a m 2 . l aː
ศาสตราจารย์	s aː t̚ 1 . t r aː . t͡ɕ aː n
ธรรมนูญ	tʰ a m . m a 3 . n uː n
แฉ	t͡ɕʰ ɛː 4
อาน	ʔ aː n
หน	h o n 4
ขรุขระ	kʰ r u 1 . kʰ r a ʔ 1
เกษตร	k a 1 . s eː t̚ 1
รอบคอบ	r ɔː p̚ 2 . kʰ ɔː p̚ 2
แปรรูป	p r ɛː . r uː p̚ 2
มักง่าย	m a k̚ 3 . ŋ aː j 2
น้ำยาล้างจาน	n a m 3 . j aː . l aː ŋ 3 . t͡ɕ aː n
นักมานุษยวิทยา	n a k̚ 3 . m aː . n u t̚ 3 . s a 1 . j a 3 . w i t̚ 3 . tʰ a 3 . j aː
น้ำใสใจคอ	n aː m 3 . s a j 4 . t͡ɕ a j . kʰ ɔː
โพธิสัตว์	pʰ oː . tʰ i 3 . s a t̚ 1
สฤคาล	s r i 1 . kʰ aː n
ปัดฝุ่น	p a t̚ 1 . f u n 1
กริยานุเคราะห์	k r i 1 . j aː . n u 3 . kʰ r ɔ ʔ 3
บางที	b aː ŋ . tʰ iː
ผู้เรียน	pʰ uː 2 . r i a̯ n
ตึกระฟ้า	t ɯ k̚ 1 . r a 3 . f aː 3
เดือน	d ɯ a̯ n
ขอยืม	kʰ ɔː 4 . j ɯː m
ธรรมกถา	tʰ a m . m a 3 . k a 1 . tʰ aː 4
อุปัชฌาย์	ʔ u 1 . p a t̚ 1 . t͡ɕʰ aː
การท่องเที่ยว	k aː n . tʰ ɔ ŋ 2 . tʰ i a̯ w 2
จับกุม	t͡ɕ a p̚ 1 . k u m
โปแลนด์	p oː . l ɛː n
พุง	pʰ u ŋ
ฌาปนสถาน	t͡ɕʰ aː . p a 1 . n a 3 . s a 1 . tʰ aː n 4
จิงโจ้น้ำ	t͡ɕ i ŋ . t͡ɕ oː 2 . n aː m 3
เสียชีวิต	s i a̯ 4 . t͡ɕʰ iː . w i t̚ 3
ดอย	d ɔː j
สวัสดี	s a 1 . w a t̚ 1 . d iː
ล่วงหน้า	l u a̯ ŋ 2 . n aː 2
บอด	b ɔː t̚ 1
รอมร่อ	r ɔː m . m a 3 . r ɔː 2
แคนาดา	kʰ ɛː . n aː . d aː
ตาลปัตร	t aː . l a 3 . p a t̚ 1
เคราะห์	kʰ r ɔ ʔ 3
ไส้แห้ง	s a j 2 . h ɛː ŋ 2
แหวน	w ɛː n 4
อสุภ	ʔ a 1 . s u p̚ 1
จวน	t͡ɕ u a̯ n
ใบบุญ	b a j . b u n
ว่ายน้ำ	w aː j 2 . n aː m 3
ความสมเหตุสมผล	kʰ w aː m . s o m 4 . h eː t̚ 1 . s o m 4 . pʰ o n 4
ก๋วยจั๊บ	k u a̯ j 4 . t͡ɕ a p̚ 3
ห้อง	h ɔ ŋ 2
ชนม์	t͡ɕʰ o n
เช่าทรัพย์	t͡ɕʰ a w 2 . s a p̚ 3
ปิตุลา	p i 1 . t u 1 . l aː
กวี	k a 1 . w iː
มนุษย์	m a 3 . n u t̚ 3
ระเบียบ	r a 3 . b i a̯ p̚ 1
บาทหลวง	b aː t̚ 1 . l u a̯ ŋ 4
ลูกศร	l uː k̚ 2 . s ɔː n 4
ภิตติ	pʰ i t̚ 3 . t i ʔ 1
เทวโลก	tʰ eː . w a 3 . l oː k̚ 2
สูติบัตร	s uː 4 . t i 1 . b a t̚ 1
นิบาต	n i 3 . b aː t̚ 1
ฤกษ์	r ɤː k̚ 2
ทิเบต	tʰ i 3 . b eː t̚ 1
เลี้ยง	l i a̯ ŋ 3
ตอ	t ɔː
โธวนะ	tʰ oː . w a 3 . n a ʔ 3
ปชต.	p ɔː . t͡ɕʰ ɔː . t ɔː
แอฟริกาใต้	ʔ ɛː p̚ 3 . f r i 3 . k aː . t aː j 2
ตะขอ	t a 1 . kʰ ɔː 4
บัญชา	b a n . t͡ɕʰ aː
รองศาสตราจารย์	r ɔː ŋ . s aː t̚ 1 . t r aː . t͡ɕ aː n
หมอนข้าง	m ɔː n 4 . kʰ aː ŋ 2
ปัดถู	p a t̚ 1 . tʰ uː 4
รถสามล้อ	r o t̚ 3 . s aː m 4 . l ɔː 3
จำนอง	t͡ɕ a m . n ɔː ŋ
อินเตอร์เน็ต	ʔ i n . t ɤː . n e t̚ 1
หมากล้อม	m aː k̚ 1 . l ɔː m 3
อัมพิละ	ʔ a m . pʰ i 3 . l a ʔ 3
ลูกโป่ง	l uː k̚ 2 . p oː ŋ 1
สันสกฤต	s a n 4 . s a 1 . k r i t̚ 1
ภาษากลาง	pʰ aː . s aː 4 . k l aː ŋ
สัตว์เลื้อยคลาน	s a t̚ 1 . l ɯ a̯ j 3 . kʰ l aː n
จำเพาะ	t͡ɕ a m . pʰ ɔ ʔ 3
อินเดีย	ʔ i n . d i a̯
ความเกรงใจ	kʰ w aː m . k r eː ŋ . t͡ɕ a j
ร็อก	r ɔ k̚ 3
พราหมณ์	pʰ r aː m
สายไหม	s aː j 4 . m a j 4
จาการ์ตา	t͡ɕ aː . k aː . t aː 2
แขกดำ	kʰ ɛː k̚ 1 . d a m
เชิดชู	t͡ɕʰ ɤː t̚ 2 . t͡ɕʰ uː
เส้นประ	s e n 2 . p r a ʔ 1
อิง	ʔ i ŋ
ไว้ใจ	w a j 3 . t͡ɕ a j
ชัง	t͡ɕʰ a ŋ
เครื่องหมายการค้า	kʰ r ɯ a̯ ŋ 2 . m aː j 4 . k aː n . kʰ aː 3
ลงโทษ	l o ŋ . tʰ oː t̚ 2
เจ้าหน้าที่	t͡ɕ aː w 2 . n aː 2 . tʰ iː 2
โทศก	tʰ oː . s o k̚ 1
ชมพู่	t͡ɕʰ o m . pʰ uː 2
หนู	n uː 4
สมมุติ	s o m 4 . m u t̚ 3
นักบิน	n a k̚ 3 . b i n
ไทใหญ่	tʰ a j . j a j 1
แรงดึงดูด	r ɛː ŋ . d ɯ ŋ . d uː t̚ 1
เรือนกระจก	r ɯ a̯ n . k r a 1 . t͡ɕ o k̚ 1
ตราชู	t r aː . t͡ɕʰ uː
ดินแดน	d i n . d ɛː n
ปลอบโยน	p l ɔː p̚ 1 . j oː n
ปล้นทรัพย์	p l o n 2 . s a p̚ 3
เอสเปรสโซ	ʔ e s 1 . p r e s 1 . s oː 2
เคี่ยว	kʰ i a̯ w 2
กติกาสัญญา	k a 1 . t i 1 . k aː . s a n 4 . j aː
เทนนิส	tʰ e n . n i s 3
การปกป้อง	k aː n . p o k̚ 1 . p ɔ ŋ 2
ปลิงทะเล	p l i ŋ . tʰ a 3 . l eː
บุญญาธิการ	b u n . j aː . tʰ i 3 . k aː n
ยกย่อง	j o k̚ 3 . j ɔ ŋ 2
ทราม	s aː m
ฤๅ	r ɯː
พิเศษ	pʰ i 3 . s eː t̚ 1
แม่ม่าย	m ɛː 2 . m aː j 2
ภาษิต	pʰ aː . s i t̚ 1
ศึกษาศาสตร์	s ɯ k̚ 1 . s aː 4 . s aː t̚ 1
จูงจมูก	t͡ɕ uː ŋ . t͡ɕ a 1 . m uː k̚ 1
เพนกวิน	pʰ e n . k w i n 2
งิ้ว	ŋ i w 3
ดุจ	d u t̚ 1
เกลียดตัวกินไข่	k l i a̯ t̚ 1 . t u a̯ . k i n . kʰ a j 1
เครื่องทุ่นแรง	kʰ r ɯ a̯ ŋ 2 . tʰ u n 2 . r ɛː ŋ
พวน	pʰ u a̯ n
ภาคยานุวัติ	pʰ aː k̚ 2 . kʰ a 3 . j aː . n u 3 . w a t̚ 3
ใบอนุญาตขับขี่	b a j . ʔ a 1 . n u 3 . j aː t̚ 2 . kʰ a p̚ 1 . kʰ iː 1
ไข่ขาว	kʰ a j 1 . kʰ aː w 4
ร่ำไห้	r a m 2 . h a j 2
จริงจัง	t͡ɕ i ŋ . t͡ɕ a ŋ
ยืดหยุ่น	j ɯː t̚ 2 . j u n 1
ทรัพย์	s a p̚ 3
วรรณยุกต์	w a n . n a 3 . j u k̚ 3
ตั้งตัว	t a ŋ 2 . t u a̯
ระดู	r a 3 . d uː
ลองกอง	l ɔː ŋ . k ɔː ŋ
ศัพทมูลวิทยา	s a p̚ 1 . tʰ a 3 . m uː n . w i t̚ 3 . tʰ a 3 . j aː
หยาบ	j aː p̚ 1
ตลาด	t a 1 . l aː t̚ 1
ฮิปโปโปเตมัส	h i p̚ 3 . p oː . p oː . t eː . m a s 3
คางคกขึ้นวอ	kʰ aː ŋ . kʰ o k̚ 3 . kʰ ɯ n 2 . w ɔː
เรียบ	r i a̯ p̚ 2
สปีชีส์	s a 1 . p iː . t͡ɕʰ iː 2
เดท	d eː t̚ 1
ละเมิด	l a 3 . m ɤː t̚ 2
แมงมุม	m ɛː ŋ . m u m
อิน	ʔ i n
เยือกเย็น	j ɯ a̯ k̚ 2 . j e n
อลูมิเนียม	ʔ a 1 . l uː . m i 3 . n i a̯ m
จันทร์	t͡ɕ a n
เพดาน	pʰ eː . d aː n
เลือด	l ɯ a̯ t̚ 2
มฤตยู	m a 3 . r ɯ t̚ 3 . t a 1 . j uː
นาคร	n aː . kʰ ɔː n
ขำ	kʰ a m 4
สอดรู้	s ɔː t̚ 1 . r uː 3
หมองูตายเพราะงู	m ɔː 4 . ŋ uː . t aː j . pʰ r ɔ ʔ 3 . ŋ uː
อวย	ʔ u a̯ j
เครื่องดนตรี	kʰ r ɯ a̯ ŋ 2 . d o n . t r iː
ปัตตานี	p a t̚ 1 . t aː . n iː
ภู	pʰ uː
สิบห้า	s i p̚ 1 . h aː 2
ยึกยัก	j ɯ k̚ 3 . j a k̚ 3
คว้าง	kʰ w aː ŋ 3
เจ็บ	t͡ɕ e p̚ 1
ชิลี	t͡ɕʰ i 3 . l iː
บำเรอ	b a m . r ɤː
ถือตัว	tʰ ɯː 4 . t u a̯
เรียง	r i a̯ ŋ
อเมริกาใต้	ʔ a 1 . m eː . r i 3 . k aː . t aː j 2
นางแบบ	n aː ŋ . b ɛː p̚ 1
โชคดี	t͡ɕʰ oː k̚ 2 . d iː
เจียว	t͡ɕ i a̯ w
ญาณวิทยา	j aː . n a 3 . w i t̚ 3 . tʰ a 3 . j aː
ด้อม	d ɔ m 2
มิคะ	m i 3 . kʰ a ʔ 3
รอยสัก	r ɔː j . s a k̚ 1
ขัดแย้ง	kʰ a t̚ 1 . j ɛː ŋ 3
หมู่เกาะ	m uː 1 . k ɔ ʔ 1
ผู้ชม	pʰ uː 2 . t͡ɕʰ o m
รุก	r u k̚ 3
ไข้เหลือง	kʰ a j 2 . l ɯ a̯ ŋ 4
มหาราช	m a 3 . h aː 4 . r aː t̚ 2
คริสต์ศักราช	kʰ r i t̚ 3 . s a k̚ 1 . k a 1 . r aː t̚ 1
นักษัตรวิทยา	n a k̚ 3 . s a t̚ 1 . t r a 1 . w i t̚ 3 . tʰ a 3 . j aː
ปลาดิบ	p l aː . d i p̚ 1
เรือนจำ	r ɯ a̯ n . t͡ɕ a m
เพกา	pʰ eː . k aː
สัญลักษณ์	s a n 4 . j a 3 . l a k̚ 3
อาชญากร	ʔ aː t̚ 1 . j aː . k ɔː n
สกี	s a 1 . k iː
ตราสาร	t r aː . s aː n 4
ไดร์	d a j
ผักชี	pʰ a k̚ 1 . t͡ɕʰ iː
พารา	pʰ aː . r aː
เกลือจืด	k l ɯ a̯ . t͡ɕ ɯː t̚ 1
เหล้าองุ่น	l a w 2 . ʔ a 1 . ŋ u n 2
เปลือกโลก	p l ɯ a̯ k̚ 1 . l oː k̚ 2
จักษุแพทย์	t͡ɕ a k̚ 1 . s u 1 . pʰ ɛː t̚ 2
หา	h aː 4
โลมา	l oː . m aː
ตรงข้าม	t r o ŋ . kʰ aː m 2
แล้ง	l ɛː ŋ 3
สปอร์ต	s a 1 . p ɔː t̚ 1
แต่งหน้า	t ɛ ŋ 1 . n aː 2
โปลิโอ	p oː . l i 3 . ʔ oː
นิลกาฬ	n i n . l a 3 . k aː n
หมากฮอส	m aː k̚ 1 . h ɔ t̚ 3
วิวัฒนาการ	w i 3 . w a t̚ 3 . tʰ a 3 . n aː . k aː n
ทั่ว	tʰ u a̯ 2
ฟาน	f aː n
เหตุการณ์	h eː t̚ 1 . k aː n
ตองกา	t ɔː ŋ . k aː
ค้น	kʰ o n 3
พ่อตา	pʰ ɔː 2 . t aː
ทานตะวัน	tʰ aː n . t a 1 . w a n
สมเด็จ	s o m 4 . d e t̚ 1
ปริญญาบัตร	p a 1 . r i n . j aː . b a t̚ 1
เพื่อนบ้าน	pʰ ɯ a̯ n 2 . b aː n 2
ตะเบ็ง	t a 1 . b e ŋ
ปฏิรูป	p a 1 . t i 1 . r uː p̚ 2
ความเท่	kʰ w aː m . tʰ eː 2
ยกเลิก	j o k̚ 3 . l ɤː k̚ 2
มุขยประโยค	m u k̚ 3 . kʰ a 1 . j a 3 . p r a 1 . j oː k̚ 1
บิล	b i n
จุ่ม	t͡ɕ u m 1
แกว	k ɛː w
พรรค์	pʰ a n
ตอนนี้	t ɔː n . n iː 3
ดีใจ	d iː . t͡ɕ a j
อนุสาวรีย์	ʔ a 1 . n u 3 . s aː 4 . w a 3 . r iː
ปรานี	p r aː . n iː
สารพัด	s aː 4 . r a 3 . pʰ a t̚ 3
หมอยา	m ɔː 4 . j aː
อรุณสวัสดิ์	ʔ a 1 . r u n . s a 1 . w a t̚ 1
โบราณวัตถุ	b oː . r aː n . n a 3 . w a t̚ 3 . tʰ u ʔ 1
หมายบังคับคดี	m aː j 4 . b a ŋ . kʰ a p̚ 3 . kʰ a 3 . d iː
พันธุ์	pʰ a n
กุหลาบ	k u 1 . l aː p̚ 1
โจ๊ก	t͡ɕ oː k̚ 3
อาว	ʔ aː w
เข้ามา	kʰ a w 2 . m aː
กองกำลัง	k ɔː ŋ . k a m . l a ŋ
เฮ	h eː
ยอดเงิน	j ɔː t̚ 2 . ŋ ɤː n
สหัสวรรษ	s a 1 . h a t̚ 1 . s a 1 . w a t̚ 3
กาย	k aː j
หิ้ง	h i ŋ 2
เข้มงวด	kʰ e m 2 . ŋ u a̯ t̚ 2
คาดหวัง	kʰ aː t̚ 2 . w a ŋ 4
แว่ว	w ɛ w 2
กระดอง	k r a 1 . d ɔː ŋ
มัด	m a t̚ 3
นะ	n a ʔ 3
หมาไม้	m aː 4 . m aː j 3
วิหค	w i 3 . h o k̚ 1
สมัยใหม่	s a 1 . m a j 4 . m a j 1
ยนต์	j o n
ปรัชญา	p r a t̚ 1 . j aː
เจริญพร	t͡ɕ a 1 . r ɤː n . pʰ ɔː n
โบรชัวร์	b r oː . t͡ɕʰ u a̯
มั่ง	m a ŋ 2
เพชรบูรณ์	pʰ e t̚ 3 . t͡ɕʰ a 3 . b uː n
รากษส	r aː k̚ 2 . s o t̚ 1
สายา	s aː 4 . j aː
เสี่ยว	s i a̯ w 1
โลกธรรม	l oː k̚ 2 . k a 1 . tʰ a m
จำเป็น	t͡ɕ a m . p e n
เขย	kʰ ɤː j 4
คนรับใช้	kʰ o n . r a p̚ 3 . t͡ɕʰ a j 3
เม็ดละมุด	m e t̚ 3 . l a 3 . m u t̚ 3
มอไซค์	m ɔː . s a j
ที่ฝังศพ	tʰ iː 2 . f a ŋ 4 . s o p̚ 1
โค้ท	kʰ oː t̚ 3
จีนกลาง	t͡ɕ iː n . k l aː ŋ
อนาจาร	ʔ a 1 . n aː . t͡ɕ aː n
ศักดิ์	s a k̚ 1
ผู้ผลิต	pʰ uː 2 . pʰ a 1 . l i t̚ 1
พเยีย	pʰ a 3 . j i a̯
เซ็ง	s e ŋ
พรหมจารี	pʰ r o m . m a 3 . t͡ɕ aː . r iː
กรกฎา	k a 1 . r a 3 . k a 1 . d aː
ผลกระทบ	pʰ o n 4 . k r a 1 . tʰ o p̚ 3
โปงลาง	p oː ŋ . l aː ŋ
ลอย	l ɔː j
การลา	k aː n . l aː
นามานุประโยค	n aː . m aː . n u 3 . p r a 1 . j oː k̚ 1
เนียน	n i a̯ n
สังกะสี	s a ŋ 4 . k a 1 . s iː 4
เค้น	kʰ e n 3
มิสซูรี	m i s 3 . s uː . r iː 2
จี	t͡ɕ iː
วาสุกรี	w aː . s u 1 . k r iː
แถลง	tʰ a 1 . l ɛː ŋ 4
หวุดหวิด	w u t̚ 1 . w i t̚ 1
บ่า	b aː 1
แม่พิมพ์	m ɛː 2 . pʰ i m
ดึงดูด	d ɯ ŋ . d uː t̚ 1
นัยน์	n a j
เพลา	pʰ eː . l aː
ปัญญาชน	p a n . j aː . t͡ɕʰ o n
อสูร	ʔ a 1 . s uː n 4
ความเป็นจริง	kʰ w aː m . p e n . t͡ɕ i ŋ
การฝังเข็ม	k aː n . f a ŋ 4 . kʰ e m 4
แหกปาก	h ɛː k̚ 1 . p aː k̚ 1
กลาย	k l aː j
ข้อผิดพลาด	kʰ ɔː 2 . pʰ i t̚ 1 . pʰ l aː t̚ 2
สร้างสรรค์	s aː ŋ 2 . s a n 4
เช็ด	t͡ɕʰ e t̚ 3
สะตอ	s a 1 . t ɔː
คดี	kʰ a 3 . d iː
ปรกติ	p r o k̚ 1 . k a 1 . t i ʔ 1
ดาราศาสตร์	d aː . r aː . s aː t̚ 1
ภัยพิบัติ	pʰ a j . pʰ i 3 . b a t̚ 1
เมื่อไร	m ɯ a̯ 2 . r a j
โรม	r oː m
รักษ์	r a k̚ 3
ท้าย	tʰ aː j 3
จิตกาธาน	t͡ɕ i t̚ 1 . t a 1 . k aː . tʰ aː n
อายุวัฒนะ	ʔ aː . j u 3 . w a t̚ 3 . tʰ a 3 . n a ʔ 3
อันดับ	ʔ a n . d a p̚ 1
กะหล่ำ	k a 1 . l a m 1
เกลี่ย	k l i a̯ 1
ไซร้	s a j 3
โมง	m oː ŋ
มหาธาตุ	m a 3 . h aː 4 . tʰ aː t̚ 2
ตัด	t a t̚ 1
หม่อน	m ɔ n 1
เสี้ยนหนาม	s i a̯ n 2 . n aː m 4
หนองบัวลำภู	n ɔː ŋ 4 . b u a̯ . l a m . pʰ uː
กุมภา	k u m . pʰ aː
สิงหา	s i ŋ 4 . h aː 4
บัส	b a t̚ 3
ใคร่ครวญ	kʰ r a j 2 . kʰ r u a̯ n
เคนยา	kʰ e n . j aː 2
คุณหญิง	kʰ u n . j i ŋ 4
ดุษฎีบัณฑิต	d u t̚ 1 . s a 1 . d iː . b a n . d i t̚ 1
ลุ่ม	l u m 2
เครือรัฐ	kʰ r ɯ a̯ . r a t̚ 3
ไลบีเรีย	l a j . b iː . r i a̯
ยี	j iː
เฒ่า	tʰ a w 2
ลักยิ้ม	l a k̚ 3 . j i m 3
บูชา	b uː . t͡ɕʰ aː
ฝาแฝด	f aː 4 . f ɛː t̚ 1
ฝรั่งเศส	f a 1 . r a ŋ 1 . s eː t̚ 1
การศึกษา	k aː n . s ɯ k̚ 1 . s aː 4
สายชู	s aː j 4 . t͡ɕʰ uː
ของชำ	kʰ ɔː ŋ 4 . t͡ɕʰ a m
กิมจิ	k i m . t͡ɕ i ʔ 1
ทำใจ	tʰ a m . t͡ɕ a j
รังมด	r a ŋ . m o t̚ 3
วิดีทัศน์	w i 3 . d iː . tʰ a t̚ 3
โทสะ	tʰ oː . s a ʔ 1
ชื่นชม	t͡ɕʰ ɯː n 2 . t͡ɕʰ o m
ทะลุ	tʰ a 3 . l u ʔ 3
เตรียมพร้อม	t r i a̯ m . pʰ r ɔː m 3
เหลือ	l ɯ a̯ 4
วิสัญญีแพทย์	w i 3 . s a n 4 . j iː . pʰ ɛː t̚ 2
ผดุงครรภ์	pʰ a 1 . d u ŋ . kʰ a n
สี่แยก	s iː 1 . j ɛː k̚ 2
เมืองหลวง	m ɯ a̯ ŋ . l u a̯ ŋ 4
พงศาวดาร	pʰ o ŋ . s aː 4 . w a 3 . d aː n
สาว	s aː w 4
อย่า	j aː 1
คีย์บอร์ด	kʰ iː . b ɔː t̚ 1
โรงพยาบาล	r oː ŋ . pʰ a 3 . j aː . b aː n
หลา	l aː 4
ปืนครก	p ɯː n . kʰ r o k̚ 3
นิยม	n i 3 . j o m
ถี่	tʰ iː 1
เอาใจใส่	ʔ a w . t͡ɕ a j . s a j 1
สาง	s aː ŋ 4
ใส่	s a j 1
หอยเม่น	h ɔ j 4 . m e n 2
ประชุมเพลิง	p r a 1 . t͡ɕʰ u m . pʰ l ɤː ŋ
กบเลือกนาย	k o p̚ 1 . l ɯ a̯ k̚ 2 . n aː j
ใคร	kʰ r a j
เอกราช	ʔ eː k̚ 1 . k a 1 . r aː t̚ 2
ผู้ใช้	pʰ uː 2 . t͡ɕʰ a j 3
