1_100_104_1	โครงสร้าง จุล ภาพ พื้นผิว   ผิว ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เมื่อ เติม ไพรี ดีน   แสดง ดัง ไมโคร กราฟ รูป ที่   สิบ
1_109_32_1	สอง จุด หนึ่ง   การคำนวณ ค่า ความน่าจะเป็น   การ จัด หมู่   การ จัดลำดับ และ แฟคทอ เรียล
1_109_33_1	สอง จุด สอง   การคำนวณ เกี่ยวกับ ตัวแปร เดียว   เช่น การ หา ค่า สถิติ ทั่วไป ของ ข้อมูล   การแสดง กราฟ ความถี่ ของ ข้อมูล
1_109_35_1	สอง จุด สี่   การคำนวณ ที่ เกี่ยวกับ สมการ ความ ถดถอย และ ค่า สห สัมพันธ์
1_109_38_1	สอง จุด เจ็ด   การ วิเคราะห์ ความ แปรปรวน ซึ่ง สามารถ แบ่ง ออก ได้ ตาม ลักษณะ ของ การวางแผน การทดลอง ทาง สถิติ ชนิด ต่าง ต่าง
1_109_39_3	ฉะนั้น จึง เป็น โปรแกรม ที่ มี ความเหมาะสม และ ยืดหยุ่น ต่อ การ ประยุกต์ใช้ สำหรับ งานวิจัย ทั้ง ด้าน วิทยาศาสตร์ และ สังคมศาสตร์ เป็น อย่างยิ่ง
1_109_40_2	เหมาะกับ การใช้งาน กับ ไมโครคอมพิวเตอร์   โดย ไม่ต้อง ลงทุน มาก
1_109_44_3	และ   ขอ ขอบคุณ คณะ เกษตรศาสตร์ บาง พระ   สถาบันเทคโนโลยีราชมงคล   กระทรวงศึกษาธิการ   ซึ่ง สนับสนุน ใน ด้าน สถานที่ และ ชุด ไมโครคอมพิวเตอร์ ไว้   ณ   โอกาส นี้
1_109_47_1	หนึ่ง   ชนะ   โสภา รักษ์   สอง พัน ห้า ร้อย สามสิบ สาม   ศัพท์ ไมโครคอมพิวเตอร์   กรุงเทพ   บริษัท อมรินทร์ พ ริ้น ติ้ง กรุ๊ป จำกัด   หนึ่ง ร้อยห้าสิบ สาม   หน้า
1_109_5_10	การ วิเคราะห์ ค่า สห สัมพันธ์   และ สมการ ความ ถดถอย หลาย ประเภท
1_109_5_17	และ คัดลอก โปรแกรม แยก ออก เป็น ส่วนย่อย ไว้ ใช้งาน ได้
1_109_5_3	เนื่องจาก   โปรแกรม ดังกล่าว มี ความยืดหยุ่น ใน การใช้งาน สูง   เช่น   สามารถ บรรจุ บน แผ่น จานแม่เหล็ก ความจุ สูง เพียง   หนึ่ง   แผ่น
1_109_7_11	เนื่องจาก คำสั่ง ใน ประมวลผล ผู้ใช้ จำเป็นต้อง เขียน ขึ้น มา ใน ลักษณะ ของ โปรแกรม ที่ ค่อนข้าง ยาก ต่อ การใช้งาน
1_109_7_15	โดย ผู้ใช้ ไม่ จำเป็นต้อง เขียน โปรแกรม เพื่อ ป้อนข้อมูล หรือ ประเมินผล ข้อมูล
1_109_8_1	วัตถุประสงค์ ของ โครงการ นี้ มี ขึ้น เพื่อ แปล คู่มือ การใช้งาน ของ โปรแกรม นี้ จาก ภาษาอังกฤษ เป็น ไทย   สำหรับ นักวิจัย และ นักศึกษา ไว้
1_109_8_2	เพื่อ ใช้ วิเคราะห์ ข้อมูล การวิจัย ทาง สถิติ เบื้องต้น และ ชั้นสูง
1_110_10_1	สารเคมี หรือ สารพิษ ที่ นำมาใช้ กำจัด ศัตรู ของ พืชผัก ที่ มีอายุ การ เพาะปลูก และ เก็บเกี่ยว สั้น มัก เป็น สาร ใน กลุ่ม ออ ร์ กา โน ฟอสฟอรัส
1_110_10_2	ซึ่ง แม้ จะ มี การสลายตัว ได้ เร็ว กว่า ดีดีที ซึ่ง เป็น ยาปราบศัตรูพืช ใน กลุ่ม ออ ร์ กา โน คลอรีน ก็ตาม
1_110_10_5	ถ้า การ รบกวน เกิดขึ้น ที่ กล้ามเนื้อ ของ อวัยวะภายใน ที่ สำคัญ สำคัญ   อาจ มี อาการ รุนแรง ถึงตาย ได้
1_110_10_6	โดยปกติ แล้ วอ อร ์ กา โน ฟอสฟอรัส ที่ ตกค้าง ใน ดิน จะ สลายตัว ได้ ภายใน ระยะเวลา ประมาณ   เจ็ด ถึง สิบ   วัน
1_110_10_8	ใน กรณี ของ การ เพาะปลูก พืชผัก ผลไม้ เกษตรกร บางคน ไม่ ทิ้ง ระยะหลัง การ ฉีด พ่น สาร ให้ สาร นั้น สลายตัว เสีย ก่อน
1_110_11_1	การ ให้ความรู้ ใน การ ใช้ สารเคมี ทาง การเกษตร แก่ เกษตรกร เป็นการ ลด ปัญหา ที่เกิด จาก การ ใช้ สารเคมี นั้น ได้ อย่างหนึ่ง
